Time,Watts Total,Watts R Ph,Watts Y Ph,Watts B Ph,PF Ave,PF R Ph,PF Y Ph,PF B Ph,VLN average,V R Ph,V Y Ph,V B Ph,A average,A R Ph,A Y Ph,A B Ph,Frequency,Wh received,Load Hours Delivered,No of interruption,On Hours,V R Harmonics,V Y Harmonics,V B Harmonics,A R Harmonics,A Y Harmonics,A B Harmonics
2025-07-20 15:52:25,214.11,264.66,64.69,179.72,169.93,217.65,255.46,473.81,151.66,210.74,85.45,198.24,355.19,381.42,276.92,70.28,180.09,463.14,485.25,173.46,71.02,106.7,373.82,32.11,25.37,490.09,89.39
2025-07-20 15:52:36,293.29,208.1,328.73,252.51,59.3,318.15,106.09,450.28,98.35,42.59,485.22,17.12,154.18,435.29,163.82,13.87,257.35,308.27,168.19,393.95,121.05,228.92,206.07,63.37,164.89,23.47,370.2
2025-07-20 15:52:46,455.46,123.23,71.22,35.49,212.69,431.41,25.08,440.13,366.38,459.88,268.72,14.96,258.78,393.75,438.3,63.33,122.87,91.22,258.66,116.53,7.77,66.63,60.16,221.46,387.07,246.96,272.09
2025-07-20 15:52:56,242.35,362.76,314.17,4.24,350.79,491.94,497.37,241.65,50.87,69.25,154.15,230.91,28.1,85.59,15.79,55.3,241.65,58.44,356.28,244.67,455.51,381.75,398.12,29.2,487.25,313.39,224.59
2025-07-20 15:53:07,64.87,393.73,449.46,165.33,114.67,263.57,234.69,201.78,436.68,318.93,56.93,349.52,168.32,370.8,70.71,97.02,76.05,356.73,340.97,349.31,390.91,332.04,218.41,430.93,179.86,207.62,17.26
2025-07-20 15:53:17,317.18,21.54,317.83,161.53,220.91,191.17,257.37,213.35,70.46,40.11,497.69,257.56,170.14,443.94,43.71,243.71,14.71,166.85,190.94,296.17,220.01,84.73,51.12,280.47,112.63,325.83,109.4
2025-07-20 15:53:27,427.76,291.84,355.35,75.19,41.94,417.57,233.5,369.34,483.69,398.3,134.96,342.19,346.72,462.27,181.28,402.51,316.58,152.01,286.61,463.82,184.32,134.07,89.28,481.16,420.65,194.5,264.42
2025-07-20 15:53:38,230.98,417.53,114.23,429.32,193.75,461.59,185.54,92.91,389.65,292.25,299.5,449.69,435.42,433.33,269.43,205.59,367.34,193.84,189.55,206.72,104.05,114.81,229.12,239.74,339.09,195.83,310.02
2025-07-20 15:53:48,76.32,52.57,238.25,41.28,424.69,471.74,432.28,239.0,205.56,241.52,234.27,195.13,196.82,228.41,208.6,155.91,54.7,386.99,340.45,276.33,376.48,34.66,297.64,83.9,302.51,155.08,148.43
2025-07-20 15:53:58,138.67,218.06,130.57,35.98,230.84,348.52,359.92,463.51,157.02,475.54,391.6,297.59,191.46,335.84,51.32,455.89,159.34,206.91,285.81,97.39,101.36,143.18,457.13,213.03,189.05,310.21,3.34
2025-07-20 15:54:09,386.96,268.36,46.06,369.44,354.23,325.29,327.66,49.31,472.23,348.37,342.14,23.87,366.73,62.94,282.67,345.6,455.52,381.04,474.1,350.04,383.3,386.26,393.82,71.81,292.32,118.8,325.37
2025-07-20 15:54:19,259.39,431.2,67.75,29.77,350.84,347.26,172.22,286.78,291.61,19.09,419.49,242.43,347.19,495.82,328.81,273.77,445.82,205.32,387.61,397.64,346.33,14.13,470.56,308.09,73.33,426.6,421.5
2025-07-20 15:54:29,453.35,99.18,441.48,343.21,308.53,223.18,345.19,112.51,377.22,189.31,247.59,188.64,474.24,334.62,313.01,481.92,126.18,341.04,271.25,218.51,61.67,182.12,320.59,263.64,391.85,74.71,389.13
2025-07-20 15:54:40,232.63,141.33,440.33,346.18,363.3,144.5,30.24,454.59,230.38,2.39,361.3,170.89,255.77,449.07,262.99,112.07,174.0,276.38,92.53,287.52,143.37,158.71,459.63,183.29,214.68,398.23,255.14
2025-07-20 15:54:50,171.96,148.17,401.29,452.79,133.52,449.71,296.32,313.27,29.44,391.16,253.27,194.02,41.09,490.58,109.71,147.0,282.04,28.16,265.0,146.2,214.17,478.61,137.67,418.65,488.41,196.12,294.43
2025-07-20 15:55:00,221.49,356.47,308.74,147.17,385.92,115.01,359.71,291.52,3.68,178.5,377.24,67.1,187.33,104.15,388.35,498.15,162.26,237.45,321.22,47.34,385.18,104.61,57.64,181.25,383.47,464.04,149.28
2025-07-20 15:55:11,11.03,165.51,440.96,397.65,21.0,140.14,234.45,306.75,187.11,221.08,390.92,255.77,400.15,296.56,139.91,406.32,221.72,206.2,178.68,75.56,423.88,259.8,221.77,270.12,86.81,86.83,11.92
2025-07-20 15:55:21,158.74,415.9,376.09,293.56,253.37,129.11,61.66,208.17,381.08,237.35,259.57,199.12,295.28,248.31,442.27,425.48,174.92,214.04,432.99,132.98,197.92,180.86,233.06,7.51,317.32,195.52,64.36
2025-07-20 15:55:31,259.34,465.43,452.6,25.72,302.65,95.53,31.47,59.78,117.46,359.56,228.28,385.7,332.7,102.17,120.49,76.35,35.54,450.63,303.68,5.6,477.61,498.2,31.43,436.58,112.04,392.96,487.75
2025-07-20 15:55:41,123.21,379.48,168.13,22.27,248.58,474.27,121.23,374.26,431.74,1.99,107.49,497.04,273.37,8.94,260.34,366.75,62.77,122.19,305.3,466.97,361.57,391.38,475.32,389.18,113.37,11.93,201.83
2025-07-20 15:55:52,103.36,465.55,447.71,345.0,148.89,12.14,105.19,165.38,307.17,203.09,429.19,252.24,157.82,447.29,363.19,101.09,471.3,214.01,223.58,309.08,467.9,479.6,415.05,219.35,223.52,53.25,55.42
2025-07-20 15:56:02,328.17,484.46,424.67,134.33,124.08,452.52,295.59,281.0,269.55,474.33,414.9,454.65,237.99,421.36,317.18,12.45,108.39,156.39,135.18,20.53,343.84,179.77,86.22,304.94,228.1,399.14,455.22
2025-07-20 15:56:12,50.59,243.57,24.36,3.28,4.82,100.73,373.31,95.25,151.71,358.23,128.27,217.27,463.51,220.17,92.05,474.59,471.23,58.8,404.16,386.4,459.87,10.07,160.42,464.89,381.33,490.65,423.68
2025-07-20 15:56:23,470.16,170.68,10.81,365.62,65.48,203.37,436.33,118.27,423.51,354.77,336.94,464.4,234.16,441.58,478.72,254.17,51.66,143.45,326.38,420.11,404.06,463.78,139.11,135.83,453.26,45.87,485.92
2025-07-20 15:56:33,167.05,485.87,229.4,102.17,304.84,84.55,484.57,12.19,277.03,481.74,131.32,70.81,348.15,17.67,480.05,149.06,91.63,444.81,282.24,25.03,420.44,206.54,217.61,10.01,248.02,40.48,343.34
2025-07-20 15:56:43,408.63,305.91,361.34,150.19,69.7,294.4,174.36,289.28,256.33,104.08,413.74,69.81,179.35,7.24,376.32,355.87,458.62,73.19,470.73,255.76,186.98,61.44,298.63,221.12,177.24,412.2,104.2
2025-07-20 15:56:54,365.13,141.15,432.61,189.32,279.67,303.53,180.78,478.8,428.37,415.67,85.15,1.1,254.4,29.13,338.11,454.02,279.3,192.46,454.19,131.33,130.58,377.14,108.67,256.65,70.1,338.13,77.3
2025-07-20 15:57:04,482.57,133.41,261.43,408.47,239.1,175.1,279.55,88.48,110.89,101.26,458.46,244.46,363.99,366.39,68.89,354.87,192.26,68.12,72.01,25.94,444.82,263.97,162.48,151.93,242.88,364.6,8.02
2025-07-20 15:57:14,171.43,318.59,364.68,241.86,211.29,431.62,27.18,34.8,207.16,451.46,210.82,336.19,203.88,252.77,261.46,486.0,77.67,172.95,225.77,272.3,98.08,339.12,25.16,117.65,284.74,381.53,356.18
2025-07-20 15:57:25,491.29,193.1,37.33,461.92,248.71,51.36,111.44,422.26,159.18,440.85,250.64,286.43,67.42,145.0,47.77,24.73,301.29,254.33,94.82,376.33,106.78,136.63,325.71,196.16,277.5,57.9,302.68
2025-07-20 15:57:35,23.14,71.15,272.67,377.34,414.1,268.3,316.78,283.38,308.07,19.32,76.39,27.72,252.33,214.33,315.9,470.88,175.48,409.76,390.88,124.47,424.12,282.65,16.94,404.94,226.49,28.04,133.16
2025-07-20 15:57:45,478.39,326.05,223.21,434.01,51.4,398.12,266.2,64.32,499.98,206.4,485.96,119.7,253.25,89.79,256.87,347.62,157.38,28.29,494.6,75.74,116.94,268.07,183.22,471.67,117.64,241.65,272.03
2025-07-20 15:57:56,393.11,147.17,372.26,112.81,400.69,246.34,362.06,335.13,238.23,24.14,411.7,25.44,101.57,417.38,7.58,467.27,353.0,105.04,84.29,127.7,336.51,27.55,271.61,64.31,69.78,139.69,295.13
2025-07-20 15:58:06,469.31,396.24,33.6,484.93,372.94,440.73,332.95,427.09,149.63,229.18,53.44,50.22,1.04,443.84,255.24,347.26,436.8,2.46,301.06,61.02,105.66,492.81,69.32,346.85,72.17,6.22,102.12
2025-07-20 15:58:16,92.46,298.95,39.05,471.98,6.44,437.74,107.4,35.87,348.35,81.89,212.81,183.22,168.83,196.81,429.39,309.63,364.09,465.75,376.5,316.38,323.53,280.38,472.13,384.05,7.5,172.96,391.59
2025-07-20 15:58:27,447.55,261.23,324.87,196.04,452.4,457.42,98.92,149.36,196.71,116.8,299.77,105.8,164.07,299.95,137.02,224.17,25.21,386.95,188.91,379.05,286.91,195.43,292.25,105.73,56.49,329.96,200.91
2025-07-20 15:58:37,105.22,120.73,112.24,468.03,400.13,283.8,494.14,380.81,385.74,270.31,375.41,179.11,228.16,37.97,129.38,290.74,459.23,216.05,112.3,485.01,113.9,429.48,93.45,236.48,461.29,454.88,428.09
2025-07-20 15:58:47,188.15,68.67,299.05,238.04,118.85,253.62,218.31,435.19,240.45,170.88,251.52,435.37,411.57,315.23,409.62,79.2,111.64,132.62,389.79,20.86,382.09,298.6,319.72,270.6,218.09,186.66,344.86
2025-07-20 15:58:58,260.69,173.21,52.4,471.37,222.99,160.57,70.02,321.52,136.45,275.45,414.58,425.54,397.9,350.89,341.81,377.87,134.4,290.33,474.89,486.42,328.31,453.55,459.7,418.32,174.12,293.1,71.02
2025-07-20 15:59:08,128.46,165.84,355.52,465.91,121.06,223.26,82.39,412.06,329.13,464.66,258.86,382.15,272.65,206.89,30.91,104.86,58.48,408.41,116.83,497.95,211.65,141.03,415.43,176.52,398.78,466.64,394.59
2025-07-20 15:59:18,238.09,371.5,485.22,236.82,419.98,303.61,348.71,406.77,292.53,352.7,225.27,394.71,298.95,451.88,245.04,317.4,494.34,351.41,37.48,251.15,488.72,270.81,140.09,98.17,291.18,345.69,217.84
2025-07-20 15:59:29,360.26,411.81,461.91,266.88,59.2,141.78,484.54,159.42,109.68,107.36,114.83,360.12,382.56,113.39,344.24,294.14,459.25,332.89,497.9,29.25,22.35,153.31,362.93,227.36,342.23,240.43,117.31
2025-07-20 15:59:39,26.5,260.62,414.92,420.12,352.93,127.11,139.6,170.04,177.92,319.89,498.24,244.95,199.49,249.05,186.32,183.75,232.8,349.75,461.72,130.01,182.07,41.73,280.15,135.43,104.18,63.95,324.21
2025-07-20 15:59:49,246.19,171.05,392.58,405.75,275.84,178.64,7.78,309.41,453.24,65.59,424.76,427.69,98.69,43.04,220.58,387.67,147.7,289.96,79.7,490.91,180.53,55.21,353.61,251.65,403.84,454.77,475.01
2025-07-20 15:59:59,128.02,173.78,320.87,275.11,328.18,26.35,376.26,396.78,48.3,108.78,116.42,225.12,332.42,231.24,389.51,251.09,444.21,263.81,127.23,0.41,252.31,97.07,239.82,42.15,246.72,29.32,359.12
2025-07-20 16:00:10,386.14,300.98,12.0,17.4,221.24,457.84,73.98,23.16,343.36,141.2,440.75,173.57,444.4,62.31,414.81,81.23,328.41,21.31,314.02,439.47,475.01,489.89,367.26,486.02,381.96,124.51,97.81
2025-07-20 16:00:20,106.79,177.7,22.83,10.04,429.5,230.78,325.56,102.7,52.83,169.18,257.4,380.62,96.65,146.42,205.93,247.15,453.78,2.5,243.07,400.46,425.53,72.76,282.21,61.95,345.46,22.42,229.88
2025-07-20 16:00:30,222.11,469.95,250.55,112.6,354.24,201.15,246.47,319.26,225.38,148.29,212.16,453.79,125.04,379.23,97.21,402.74,188.74,117.87,82.11,149.52,225.52,423.99,92.58,461.14,183.14,309.52,417.12
2025-07-20 16:00:41,59.77,77.72,405.66,369.65,488.75,445.29,64.78,481.79,244.9,345.29,346.6,495.91,60.62,213.77,423.68,328.63,125.91,228.81,234.38,226.71,465.89,95.68,368.68,287.88,36.17,70.31,204.21
2025-07-20 16:00:51,171.92,263.61,390.72,17.86,446.15,469.83,59.22,358.67,67.71,4.28,50.5,349.58,399.12,317.03,13.47,447.92,362.37,139.07,480.11,7.0,219.68,431.57,185.63,27.57,354.66,171.42,0.09
2025-07-20 16:01:01,260.93,440.41,340.86,474.51,39.64,208.0,435.39,57.96,137.95,251.71,122.05,411.71,226.89,104.95,491.8,408.69,8.19,32.9,262.71,497.91,433.64,199.63,135.13,2.31,242.45,410.04,40.1
2025-07-20 16:01:12,423.32,483.37,227.63,46.98,233.94,445.12,352.45,379.02,353.3,350.98,337.29,105.19,65.87,63.21,77.79,376.6,466.81,376.52,396.72,447.9,240.45,270.51,457.9,166.96,442.55,406.72,163.39
2025-07-20 16:01:22,279.16,99.72,221.51,154.99,172.17,381.56,202.83,470.5,269.12,456.41,335.45,387.37,312.89,355.81,123.22,342.74,125.36,398.17,477.82,330.34,361.42,440.6,18.03,483.86,287.25,38.31,229.11
2025-07-20 16:01:32,221.99,329.09,119.7,58.31,12.02,439.91,373.61,72.72,406.68,129.59,175.79,112.32,462.71,8.35,334.51,338.34,141.03,117.0,103.49,168.06,90.03,221.18,311.03,133.82,39.01,223.55,398.18
2025-07-20 16:01:43,249.05,370.9,267.85,60.03,499.65,94.27,204.27,399.69,200.71,264.97,172.72,359.3,390.63,41.54,248.41,480.98,133.99,392.31,360.2,328.97,449.37,244.92,385.2,476.19,466.23,120.3,54.7
2025-07-20 16:01:53,430.65,459.94,413.71,314.83,127.88,77.37,481.07,388.09,495.66,417.22,489.76,105.62,311.5,238.37,433.94,399.99,127.2,53.24,63.67,475.3,423.74,311.42,307.1,180.8,19.42,185.32,341.31
2025-07-20 16:02:03,201.59,75.24,318.94,438.68,230.39,355.87,173.82,219.92,22.46,406.48,415.68,451.22,8.13,472.26,416.18,440.62,413.71,190.64,152.76,118.01,358.41,296.86,223.12,438.55,29.5,383.64,138.73
2025-07-20 16:02:14,273.53,1.49,25.49,211.86,283.65,293.79,181.36,60.23,50.22,51.19,124.21,351.95,195.22,36.55,185.43,328.17,427.22,357.32,240.07,118.79,455.15,395.62,413.97,278.74,328.88,138.42,272.85
2025-07-20 16:02:24,87.61,407.12,189.83,406.32,216.17,256.48,343.67,67.65,125.98,251.02,346.03,117.37,8.59,435.73,199.17,31.94,190.42,452.9,342.67,52.76,188.58,377.25,390.37,196.87,396.45,488.18,411.51
2025-07-20 16:02:34,306.4,484.88,107.03,82.15,106.74,260.16,72.59,420.11,473.22,237.55,438.72,109.87,400.92,153.14,225.19,71.58,242.42,185.42,361.09,112.87,60.77,464.22,226.08,101.72,247.57,118.49,259.25
2025-07-20 16:02:45,190.44,48.04,191.41,462.99,314.47,396.28,126.45,387.36,292.5,250.26,418.87,439.94,266.46,214.25,384.51,475.36,299.99,387.81,147.73,5.07,57.11,259.91,33.46,486.15,103.78,371.51,243.44
2025-07-20 16:02:55,62.47,38.58,385.18,15.82,433.31,365.26,158.3,276.58,206.75,337.01,473.25,444.17,331.0,228.15,310.89,241.58,357.74,478.67,219.79,132.65,223.4,424.83,386.4,67.4,440.01,75.43,298.4
2025-07-20 16:03:05,359.87,339.41,471.0,122.14,194.32,137.43,487.38,412.8,0.46,116.0,305.82,307.5,352.94,368.44,66.39,206.56,130.15,125.24,66.5,399.99,136.09,444.85,46.44,96.04,78.72,155.03,270.0
2025-07-20 16:03:16,78.61,4.11,303.96,118.52,20.2,68.1,494.5,26.27,180.75,221.06,22.6,317.13,215.81,438.37,396.81,372.76,411.49,215.84,296.13,121.97,495.09,273.57,432.78,431.55,197.35,53.71,47.97
2025-07-20 16:03:26,202.92,199.37,305.26,264.26,384.29,425.61,417.6,475.68,67.3,335.4,259.54,394.23,177.3,350.07,347.35,281.6,350.94,281.44,101.67,323.76,384.31,199.47,242.21,7.64,264.44,110.72,474.01
2025-07-20 16:03:36,159.43,290.03,405.47,107.14,242.07,465.88,0.82,327.32,30.36,320.21,431.58,42.2,252.44,415.92,402.94,88.01,304.96,306.95,441.07,406.65,25.43,16.07,376.41,324.82,282.21,498.02,310.27
2025-07-20 16:03:47,36.84,189.36,287.89,269.19,323.43,384.24,51.18,335.86,15.55,287.13,172.2,447.25,465.15,76.47,323.69,319.18,29.78,184.91,243.16,430.95,468.85,340.14,473.83,316.41,238.58,130.99,29.37
2025-07-20 16:03:57,209.81,434.92,374.44,436.97,364.91,446.74,162.9,167.74,124.55,147.62,295.35,303.06,365.21,26.36,242.7,449.21,281.74,389.75,451.0,450.31,447.75,102.9,17.23,288.54,464.16,232.14,456.01
2025-07-20 16:04:07,341.93,455.8,101.06,6.11,378.05,404.04,446.26,371.78,96.52,140.15,401.45,401.98,179.2,239.77,89.79,452.12,426.56,152.88,220.35,387.31,414.11,367.33,5.31,64.98,257.05,307.5,231.27
